Date,Open,High,Low,Close,Adj Close,Volume
2018-05-30,30109.369141,30241.230469,29964.339844,30056.789063,30056.789063,2407803400
2018-05-31,30274.179688,30533.580078,30148.429688,30468.560547,30468.560547,4110003600
2018-06-01,30548.779297,30581.119141,30363.490234,30492.910156,30492.910156,2778527900
2018-06-04,30836.769531,31012.919922,30743.179688,30997.980469,30997.980469,1836620100
2018-06-05,31009.470703,31188.929688,30896.109375,31093.449219,31093.449219,1722042700
2018-06-06,31162.019531,31332.419922,31161.369141,31259.099609,31259.099609,1465410700
2018-06-07,31464.630859,31521.130859,31369.279297,31512.630859,31512.630859,1937967000
2018-06-08,31435.259766,31435.259766,30874.099609,30958.210938,30958.210938,1721286300
2018-06-11,31016.519531,31134.029297,30898.570313,31063.699219,31063.699219,1323340300
2018-06-12,31029.849609,31242.859375,30944.970703,31103.060547,31103.060547,1378992000
2018-06-13,30990.369141,31023.730469,30688.259766,30725.150391,30725.150391,1630943500
2018-06-14,30684.070313,30777.960938,30349.960938,30440.169922,30440.169922,2128385000
2018-06-15,30411.070313,30519.289063,30259.109375,30309.490234,30309.490234,2336474000
2018-06-19,29999.009766,30012.039063,29332.279297,29468.150391,29468.150391,3563935000
2018-06-20,29478.460938,29944.300781,29406.199219,29696.169922,29696.169922,2235041100
2018-06-21,29764.050781,29882.269531,29285.710938,29296.050781,29296.050781,2026711800
2018-06-22,29215.539063,29436.839844,29089.390625,29338.699219,29338.699219,2153358900
2018-06-25,29326.119141,29403.359375,28895.400391,28961.390625,28961.390625,2300773700
2018-06-26,28881.179688,29034.230469,28505.089844,28881.400391,28881.400391,2528392900
2018-06-27,28957.640625,28988.830078,28342.820313,28356.259766,28356.259766,2572195600
2018-06-28,28368.009766,28567.289063,28169.099609,28497.320313,28497.320313,2569401700
2018-06-29,28463.849609,28962.289063,28463.849609,28955.109375,28955.109375,2390149600
2018-07-03,28617.000000,28617.000000,27990.449219,28545.570313,28545.570313,3283196100
2018-07-04,28546.320313,28642.339844,28141.279297,28241.669922,28241.669922,2102178600
2018-07-05,28101.849609,28320.900391,27830.750000,28182.089844,28182.089844,1879594600
2018-07-06,28254.369141,28554.210938,27925.330078,28315.619141,28315.619141,2018289300
2018-07-09,28606.160156,28821.539063,28518.519531,28688.500000,28688.500000,1877898300
2018-07-10,28900.710938,28981.929688,28682.250000,28682.250000,28682.250000,1667619300
2018-07-11,28013.720703,28365.720703,28013.720703,28311.689453,28311.689453,1871183500
2018-07-12,28260.089844,28614.529297,28217.310547,28480.830078,28480.830078,1850926800
2018-07-13,28689.179688,28715.359375,28500.509766,28525.439453,28525.439453,1449784600
2018-07-16,28580.960938,28699.210938,28327.000000,28539.660156,28539.660156,1239642900
2018-07-17,28451.500000,28460.869141,28137.949219,28181.679688,28181.679688,1700682900
2018-07-18,28352.109375,28386.380859,28045.470703,28117.419922,28117.419922,1507604000
2018-07-19,28251.160156,28329.980469,27998.359375,28010.859375,28010.859375,1495109900
2018-07-20,28054.759766,28294.740234,27745.849609,28224.480469,28224.480469,2439680200
2018-07-23,28298.609375,28391.580078,28091.060547,28256.119141,28256.119141,1893557000
2018-07-24,28282.300781,28718.000000,28282.300781,28662.570313,28662.570313,2416350500
2018-07-25,28906.970703,28964.789063,28764.349609,28920.900391,28920.900391,1632380100
2018-07-26,29083.400391,29083.400391,28625.080078,28781.140625,28781.140625,1418097900
2018-07-27,28734.730469,28816.689453,28572.789063,28804.279297,28804.279297,1206039800
2018-07-30,28631.050781,28839.240234,28539.560547,28733.130859,28733.130859,1231291800
2018-07-31,28663.140625,28682.310547,28538.029297,28583.009766,28583.009766,1464571200
2018-08-01,28756.720703,28772.800781,28219.970703,28340.740234,28340.740234,1516068100
2018-08-02,28159.009766,28218.279297,27578.089844,27714.560547,27714.560547,1989173700
2018-08-03,27751.599609,27786.150391,27604.560547,27676.320313,27676.320313,1608505200
